category,time
NO,0
crickets,1.0
crickets,2.0
crickets,3.0
crickets,4.0
insects,5.0
NO,6.0
crickets,7.0
crickets,8.0
crickets,9.0
crickets,10.0
crickets,11.0
crickets,12.0
NO,13.0
insects,14.0
crickets,15.0
crickets,16.0
crickets,17.0
crickets,18.0
NO,19.0
NO,20.0
NO,21.0
NO,22.0
crickets,23.0
crickets,24.0
NO,25.0
NO,26.0
NO,27.0
insects,28.0
crickets,29.0
crickets,30.0
crickets,31.0
crickets,32.0
crickets,33.0
crickets,34.0
crickets,35.0
crickets,36.0
crickets,37.0
crickets,38.0
crickets,39.0
crickets,40.0
crickets,41.0
crickets,42.0
insects,43.0
NO,44.0
NO,45.0
crickets,46.0
insects,47.0
NO,48.0
NO,49.0
NO,50.0
crickets,51.0
crickets,52.0
crickets,53.0
crickets,54.0
crickets,55.0
crickets,56.0
crickets,57.0
crickets,58.0
crickets,59.0
crickets,60.0
